Name,Ticker,Weight
MICROSOFT CORP,MSFT,7.315990
APPLE INC,AAPL,6.953051
NVIDIA CORP,NVDA,3.706089
AMAZON.COM INC,AMZN,3.488276
ALPHABET INC CL A,GOOGL,2.151834
META PLATFORMS INC CLASS A,META,2.120529
ALPHABET INC CL C,GOOG,1.831138
BERKSHIRE HATHAWAY INC CL B,BRK.B,1.675427
TESLA INC,TSLA,1.404733
BROADCOM INC,AVGO,1.345742
ELI LILLY + CO,LLY,1.235634
JPMORGAN CHASE + CO,JPM,1.205301
UNITEDHEALTH GROUP INC,UNH,1.160771
VISA INC CLASS A SHARES,V,1.058822
EXXON MOBIL CORP,XOM,0.975563
JOHNSON + JOHNSON,JNJ,0.935698
MASTERCARD INC   A,MA,0.888302
PROCTER + GAMBLE CO/THE,PG,0.876688
HOME DEPOT INC,HD,0.849204
COSTCO WHOLESALE CORP,COST,0.743251
MERCK + CO. INC.,MRK,0.736612
ABBVIE INC,ABBV,0.709026
ADVANCED MICRO DEVICES,AMD,0.704362
ADOBE INC,ADBE,0.675198
SALESFORCE INC,CRM,0.658754
CHEVRON CORP,CVX,0.622118
NETFLIX INC,NFLX,0.583166
ACCENTURE PLC CL A,ACN,0.566124
COCA COLA CO/THE,KO,0.560504
WALMART INC,WMT,0.559854
PEPSICO INC,PEP,0.556733
BANK OF AMERICA CORP,BAC,0.555229
MCDONALD S CORP,MCD,0.532859
THERMO FISHER SCIENTIFIC INC,TMO,0.510086
CISCO SYSTEMS INC,CSCO,0.508203
INTEL CORP,INTC,0.506075
LINDE PLC,LIN,0.475800
ABBOTT LABORATORIES,ABT,0.470077
ORACLE CORP,ORCL,0.444089
WELLS FARGO + CO,WFC,0.439481
INTUIT INC,INTU,0.436050
COMCAST CORP CLASS A,CMCSA,0.430080
VERIZON COMMUNICATIONS INC,VZ,0.424354
QUALCOMM INC,QCOM,0.420123
WALT DISNEY CO/THE,DIS,0.418378
AMGEN INC,AMGN,0.399966
US DOLLAR,-,0.394788
INTL BUSINESS MACHINES CORP,IBM,0.387854
PFIZER INC,PFE,0.385343
SERVICENOW INC,NOW,0.381251
TEXAS INSTRUMENTS INC,TXN,0.377684
DANAHER CORP,DHR,0.367692
CATERPILLAR INC,CAT,0.362597
UNION PACIFIC CORP,UNP,0.361220
APPLIED MATERIALS INC,AMAT,0.356204
S+P GLOBAL INC,SPGI,0.353254
GENERAL ELECTRIC CO,GE,0.345789
PHILIP MORRIS INTERNATIONAL,PM,0.344977
HONEYWELL INTERNATIONAL INC,HON,0.322195
UBER TECHNOLOGIES INC,UBER,0.320839
INTUITIVE SURGICAL INC,ISRG,0.318486
CONOCOPHILLIPS,COP,0.318421
RTX CORP,RTX,0.314648
GOLDMAN SACHS GROUP INC,GS,0.302520
NIKE INC  CL B,NKE,0.301574
BOOKING HOLDINGS INC,BKNG,0.298448
BOEING CO/THE,BA,0.297194
LOWE S COS INC,LOW,0.297118
AT+T INC,T,0.291620
NEXTERA ENERGY INC,NEE,0.286014
PROLOGIS INC,PLD,0.283406
UNITED PARCEL SERVICE CL B,UPS,0.276911
MEDTRONIC PLC,MDT,0.275630
LAM RESEARCH CORP,LRCX,0.273307
ELEVANCE HEALTH INC,ELV,0.272114
MORGAN STANLEY,MS,0.270622
VERTEX PHARMACEUTICALS INC,VRTX,0.269408
BLACKROCK INC,BLK,0.268680
TJX COMPANIES INC,TJX,0.265631
AMERICAN EXPRESS CO,AXP,0.261597
PALO ALTO NETWORKS INC,PANW,0.258575
STARBUCKS CORP,SBUX,0.257155
PROGRESSIVE CORP,PGR,0.255152
STRYKER CORP,SYK,0.254630
DEERE + CO,DE,0.254385
BRISTOL MYERS SQUIBB CO,BMY,0.249967
CITIGROUP INC,C,0.249249
REGENERON PHARMACEUTICALS,REGN,0.247765
MONDELEZ INTERNATIONAL INC A,MDLZ,0.245994
GILEAD SCIENCES INC,GILD,0.242314
ANALOG DEVICES INC,ADI,0.241636
CHUBB LTD,CB,0.241004
AUTOMATIC DATA PROCESSING,ADP,0.239808
MARSH + MCLENNAN COS,MMC,0.239561
MICRON TECHNOLOGY INC,MU,0.236041
EATON CORP PLC,ETN,0.235939
LOCKHEED MARTIN CORP,LMT,0.233062
CVS HEALTH CORP,CVS,0.233002
SCHWAB (CHARLES) CORP,SCHW,0.231044
AMERICAN TOWER CORP,AMT,0.224281
THE CIGNA GROUP,CI,0.217890
BOSTON SCIENTIFIC CORP,BSX,0.214740
KLA CORP,KLAC,0.212239
BLACKSTONE INC,BX,0.209540
ZOETIS INC,ZTS,0.208882
FISERV INC,FI,0.205463
T MOBILE US INC,TMUS,0.201571
SYNOPSYS INC,SNPS,0.200984
CADENCE DESIGN SYS INC,CDNS,0.196157
EQUINIX INC,EQIX,0.182208
SOUTHERN CO/THE,SO,0.182040
SCHLUMBERGER LTD,SLB,0.179925
CME GROUP INC,CME,0.179883
DUKE ENERGY CORP,DUK,0.178164
INTERCONTINENTAL EXCHANGE IN,ICE,0.177800
SHERWIN WILLIAMS CO/THE,SHW,0.173372
ILLINOIS TOOL WORKS,ITW,0.173125
ALTRIA GROUP INC,MO,0.172687
BECTON DICKINSON AND CO,BDX,0.166549
CSX CORP,CSX,0.166175
PAYPAL HOLDINGS INC,PYPL,0.166143
WASTE MANAGEMENT INC,WM,0.164721
US BANCORP,USB,0.161729
ARISTA NETWORKS INC,ANET,0.161277
COLGATE PALMOLIVE CO,CL,0.161224
NORTHROP GRUMMAN CORP,NOC,0.160791
EOG RESOURCES INC,EOG,0.159753
MCKESSON CORP,MCK,0.157806
TARGET CORP,TGT,0.157089
CHIPOTLE MEXICAN GRILL INC,CMG,0.156636
AIRBNB INC CLASS A,ABNB,0.150095
MOODY S CORP,MCO,0.150052
AON PLC CLASS A,AON,0.148868
O REILLY AUTOMOTIVE INC,ORLY,0.147332
AMPHENOL CORP CL A,APH,0.146895
PNC FINANCIAL SERVICES GROUP,PNC,0.146326
PARKER HANNIFIN CORP,PH,0.146055
GENERAL DYNAMICS CORP,GD,0.144393
MARATHON PETROLEUM CORP,MPC,0.143999
PHILLIPS 66,PSX,0.143802
MARRIOTT INTERNATIONAL  CL A,MAR,0.143482
TRANSDIGM GROUP INC,TDG,0.143399
