owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Government Accountability Office,Government Accountability Office,FY2022P12,005-0107,"Salaries and Expenses, Government Accountability Office",Government Accountability Office,General Government,Legislative functions,165307003.81,14348320.10,744230113.00,0.00,0.00,34870766.09,34870766.09,958756203.00,760352066.33,14348335.20,198404136.67,736247493.31,958756203.00,2022-11-15
Legislative Branch Boards and Commissions,Department of State,FY2022P12,009-0500,"International Conferences and Contingencies, House and Senate   Expenses",Legislative Branch Boards and Commissions,General Government,Legislative functions,1515742.22,0.00,0.00,0.00,0.00,0.00,0.00,1515742.22,50000.00,0.00,1465742.22,50000.00,1515742.22,2022-11-16
The Judicial Branch,Department of Justice,FY2022P12,010-0930,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",The Judicial Branch,Administration of Justice,Federal litigative and judicial activities,61910873.27,17118529.50,590063716.00,0.00,0.00,0.00,0.00,669093118.77,599312347.04,12459334.87,69780771.73,572591573.18,669093118.77,2022-11-15
Executive Office of the President,Executive Office of the President,FY2022P12,011-0001,"Compensation of the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,121788.24,-33585.61,450000.00,0.00,0.00,0.00,0.00,538202.63,444282.64,0.00,93919.99,439745.63,538202.63,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0030,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,387345.63,317938.16,0.00,0.00,0.00,0.00,0.00,705283.79,210000.00,317938.16,495283.79,53513.52,705283.79,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0036,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,226408456.19,2456046.61,8000000.00,0.00,0.00,5025379.75,5025379.75,241889882.55,58232263.31,2456046.61,183657619.24,52929224.47,241889882.55,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0037,"Unanticipated Needs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4159314.64,-702814.28,1000000.00,0.00,0.00,0.00,0.00,4456500.36,256190.24,0.00,4200310.12,507346.24,4456500.36,2022-11-14
Executive Office of the President,Executive Office of the President,FY2022P12,011-0038,"Salaries and Expenses, Office of Administration, Executive",Executive Office of the President,General Government,Executive direction and management,30460320.53,4430507.72,106500000.00,0.00,0.00,-1698358.09,-1698358.09,139692470.16,109276291.39,5633333.41,30416178.77,93773835.16,139692470.16,2022-11-14
Department of State,Department of State,FY2022P12,011-0040,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,8979268.33,50738253.14,2276200000.00,0.00,0.00,0.00,0.00,2335917521.47,468767714.40,50738253.14,1867149807.07,717963927.59,2335917521.47,2022-11-16
Executive Office of the President,Executive Office of the President,FY2022P12,011-0048,National Space Council,Executive Office of the President,General Government,Executive direction and management,3023506.53,32976.05,1965000.00,0.00,0.00,0.00,0.00,5021482.58,1749553.20,32976.05,3271929.38,1793501.71,5021482.58,2022-11-14
