owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Government Accountability Office,Government Accountability Office,FY2021P12,005-0107,"Salaries and Expenses, Government Accountability Office",Government Accountability Office,General Government,Legislative functions,87072668.47,17775436.44,748139000.00,0.00,0.00,34540674.47,34540674.47,887527779.38,722220775.57,18006592.95,165307003.81,681143974.40,887527779.38,2021-11-15
Legislative Branch Boards and Commissions,Department of State,FY2021P12,009-0500,"International Conferences and Contingencies, House and Senate   Expenses",Legislative Branch Boards and Commissions,General Government,Legislative functions,1565742.22,0.00,0.00,0.00,0.00,0.00,0.00,1565742.22,50000.00,0.00,1515742.22,50000.00,1565742.22,2021-12-09
The Judicial Branch,Department of Justice,FY2021P12,010-0930,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",The Judicial Branch,Administration of Justice,Federal litigative and judicial activities,49734042.98,17149967.31,574560500.00,0.00,0.00,0.00,0.00,641444510.29,579533637.02,25313461.48,61910873.27,543702410.59,641444510.29,2021-11-12
Executive Office of the President,Executive Office of the President,FY2021P12,011-0001,"Compensation of the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,169603.85,-10047.45,450000.00,0.00,0.00,0.00,0.00,609556.40,487768.16,33333.33,121788.24,469938.83,609556.40,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-0030,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,387345.63,0.00,0.00,0.00,0.00,0.00,0.00,387345.63,0.00,0.00,387345.63,0.00,387345.63,2021-11-10
Executive Office of the President,Executive Office of the President;General Services Administration,FY2021P12,011-0036,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,39041586.04,1064897.02,212500000.00,0.00,0.00,11918468.54,11918468.54,264524951.60,38116495.41,1060974.70,226408456.19,36199325.03,264524951.60,2021-11-14
Executive Office of the President,Executive Office of the President,FY2021P12,011-0037,"Unanticipated Needs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4774314.64,-95000.00,1000000.00,0.00,0.00,0.00,0.00,5679314.64,1520000.00,705000.00,4159314.64,688659.24,5679314.64,2021-11-10
Executive Office of the President,Executive Office of the President,FY2021P12,011-0038,"Salaries and Expenses, Office of Administration, Executive",Executive Office of the President,General Government,Executive direction and management,26996812.89,1609438.52,100000000.00,0.00,0.00,3727434.30,3727434.30,132333685.71,101873365.18,3154787.12,30460320.53,99535421.63,132333685.71,2021-11-10
Department of State,Department of State,FY2021P12,011-0040,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,100000000.60,0.00,500100000.00,0.00,0.00,0.00,0.00,600100000.60,591120732.27,0.00,8979268.33,47555857.45,600100000.60,2021-12-09
Executive Office of the President,Executive Office of the President,FY2021P12,011-0048,National Space Council,Executive Office of the President,General Government,Executive direction and management,2990878.41,49441.99,1965000.00,0.00,0.00,30000.00,30000.00,5035320.40,2011813.87,49441.99,3023506.53,550594.04,5035320.40,2021-11-10
