"Matching_Parent","Market_cap","Ticker","price"
"3m company",51819748360.6557,"MMM",93.2399978637695
"a.o. smith corp.",9919012295.08197,"AOS",80.3300018310547
"air products & chemicals",57494097540.9836,"APD",257.160003662109
"american airlines",9150319672.13115,"AAL",13.9300003051758
"american electric power",40695902868.8525,"AEP",76.9899978637695
"american express",107533520901.639,"AXP",185.820007324219
"american tower",92194197950.8197,"AMT",196.759994506836
"arch capital",29884467213.1148,"ACGL",80.129997253418
"bank of america",228235527459.016,"BAC",32.9799995422363
"bank of new york mellon",42446631147.541,"BK",54.9099998474121
"bio-rad laboratories",6645286065.57377,"BIO",316.559997558594
"boston properties",9980261065.57377,"BXP",70.4599990844727
"boston scientific",88272221311.4754,"BSX",59.9199981689453
"brown & brown",18413682377.0492,"BRO",77.5999984741211
"brown-forman",9927644672.13115,"BF.B",NA
"cadence design systems",80633389754.0984,"CDNS",294.910003662109
"capital one financial",50187818032.7869,"COF",131.089996337891
"charles river laboratories",10932700000,"CRL",213.110000610352
"charles schwab corp.",94974234426.2295,"SCHW",63.4799995422363
"cigna",89567077868.8525,"CI",304.5
"constellation energy",37130731147.541,"CEG",115.669998168945
"cooper companies",18906138934.4262,"COO",379.929992675781
"crown castle",46064419262.2951,"CCI",105.559997558594
"dollar tree",27318184836.0656,"DLTR",130.160003662109
"dr horton",42170806147.541,"DHI",139.210006713867
"fidelity national information services",36396156967.2131,"FIS",61.060001373291
"first solar",16020047540.9836,"FSLR",148.869995117188
"fox corporation",11665629918.0328,"FOXA",31.4099998474121
"ge healthcare technologies",28157580737.7049,"GEHC",71.5500030517578
"general dynamics",59354991393.4426,"GD",261.179992675781
"general mills",37184169672.1311,"GIS",63.6399993896484
"general motors",47764997540.9836,"GM",34.7000007629395
"global payments",34042395491.8033,"GPN",130.009994506836
"hartford financial services",26124861475.4098,"HIG",86.4199981689453
"huntington bancshares",18868731967.2131,"HBAN",13.0799999237061
"jack henry & associates",12229200819.6721,"JKHY",166.630004882812
"johnson & johnson",384633235245.902,"JNJ",158.960006713867
"m&t bank",23811384426.2295,"MTB",142.679992675781
"merck",302795834426.229,"MRK",118.879997253418
"old dominion freight line",35225853278.6885,"ODFL",391.679992675781
"on semiconductor",32536662295.082,"ON",75.1500015258789
"pg&e corp.",34837396311.4754,"PCG",16.5300006866455
"public storage",45969463114.7541,"PSA",288.709991455078
"robert half",8631554918.03279,"RHI",81.0899963378906
"royal caribbean cruises",29789922131.1475,"RCL",125.48999786377
"southern company",74830377049.1803,"SO",68.1999969482422
"southwest airlines",18621681557.377,"LUV",31.1100006103516
"stanley black & decker",14374140983.6066,"SWK",92.8899993896484
"t-mobile us",82858898770.4918,"TMUS",162
"texa instruments",155252890163.934,"TXN",170.070007324219
"u.s. bancorp",66481224180.3279,"USB",42.4799995422363
