"Company","Parent","Penalty","Year","Date","Agency"
"Acino Products, LLC",NA,6250,2011,2011-09-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Adler Fels Winery",NA,15000,2009,2009-08-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Allied Domecq Spirits & Wine USA, Inc.",NA,30000,2004,2004-03-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Alternative Distribution Network, Inc.",NA,7105,2009,2009-02-24,"Alcohol and Tobacco Tax and Trade Bureau"
"Ancient Peak, Inc.",NA,15000,2014,2014-11-20,"Alcohol and Tobacco Tax and Trade Bureau"
"Anheuser-Busch LLC","Anheuser-Busch InBev",3e+05,2016,2016-03-04,"Alcohol and Tobacco Tax and Trade Bureau"
"Archer Daniels Midland Company","Archer Daniels Midland",3e+06,2008,2008-09-22,"Alcohol and Tobacco Tax and Trade Bureau"
"B. Fernandez and Hermanos, Inc.",NA,12000,2001,2001-08-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Bacardi Corporation","Bacardi Limited",7500,2002,2002-06-30,"Alcohol and Tobacco Tax and Trade Bureau"
"Bacardi U.S.A., Inc.","Bacardi Limited",262500,2011,2011-05-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Bacardi USA, Inc","Bacardi Limited",50000,2001,2001-08-01,"Alcohol and Tobacco Tax and Trade Bureau"
"BarkandBrew Inc. dba La Jolla Brew House",NA,7000,2013,2013-11-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Barsac, Inc.",NA,1e+05,2003,2003-11-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Baton Rouge, LLC",NA,10000,2010,2010-01-25,"Alcohol and Tobacco Tax and Trade Bureau"
"Bekenton U.S.A., Inc.",NA,50000,2007,2007-01-03,"Alcohol and Tobacco Tax and Trade Bureau"
"B.G.A. International USA Inc.",NA,20000,2012,2012-01-06,"Alcohol and Tobacco Tax and Trade Bureau"
"Biagi Bros., Inc.",NA,10000,2011,2011-11-17,"Alcohol and Tobacco Tax and Trade Bureau"
"Billy Ray Holt and Carolyn Holt",NA,13000,2010,2010-10-07,"Alcohol and Tobacco Tax and Trade Bureau"
"The Black Prince Distillery, Inc.",NA,50000,2006,2006-09-27,"Alcohol and Tobacco Tax and Trade Bureau"
"Black Walnut Vineyards, LLC",NA,10000,2009,2009-01-05,"Alcohol and Tobacco Tax and Trade Bureau"
"Blue Label Products GP, LLC",NA,5000,2015,2015-04-03,"Alcohol and Tobacco Tax and Trade Bureau"
"The Boston Beer Company","Boston Beer Co.",931680,2009,2009-02-02,"Alcohol and Tobacco Tax and Trade Bureau"
"The Boston Beer Company","Boston Beer Co.",236160,2009,2009-02-02,"Alcohol and Tobacco Tax and Trade Bureau"
"The Boston Beer Company","Boston Beer Co.",25000,2009,2009-02-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Brenntag Southwest, Inc.","Brenntag",6221,2010,2010-08-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Brenntag Great Lakes, LLC","Brenntag",30381,2010,2010-08-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Brenntag Northeast Inc.","Brenntag",5000,2016,2016-05-09,"Alcohol and Tobacco Tax and Trade Bureau"
"Brenntag Southeast, Inc.","Brenntag",28739,2010,2010-08-10,"Alcohol and Tobacco Tax and Trade Bureau"
"Brescome Barton, Inc.",NA,2e+05,2015,2015-04-02,"Alcohol and Tobacco Tax and Trade Bureau"
"Bronco Wine Co.",NA,750000,2000,2000-07-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Brotherhood America's Oldest Winery, Ltd.",NA,70000,2011,2011-11-21,"Alcohol and Tobacco Tax and Trade Bureau"
"Brown & Williamson Tobacco Corporation","British American Tobacco",95000,2007,2007-02-26,"Alcohol and Tobacco Tax and Trade Bureau"
"Burritt & Son, Inc.",NA,17500,2008,2008-02-28,"Alcohol and Tobacco Tax and Trade Bureau"
"C. James Winery, Inc.",NA,75000,2009,2009-11-10,"Alcohol and Tobacco Tax and Trade Bureau"
"C. Mondavi and Sons dba Charles Krug Winery",NA,3e+05,2000,2000-07-31,"Alcohol and Tobacco Tax and Trade Bureau"
"Cacciatore Fine Wines & Olive Oil Corp.",NA,25000,2004,2004-03-08,"Alcohol and Tobacco Tax and Trade Bureau"
"Cadierno Corp.",NA,5000,2001,2001-08-01,"Alcohol and Tobacco Tax and Trade Bureau"
"Cadierno Corp.",NA,5000,2000,2000-02-28,"Alcohol and Tobacco Tax and Trade Bureau"
"California Cider Co., Inc.",NA,450000,2017,2017-01-20,"Alcohol and Tobacco Tax and Trade Bureau"
"California Wine Transport Inc.",NA,15000,2010,2010-11-15,"Alcohol and Tobacco Tax and Trade Bureau"
"Camo Brewing Co., Inc.",NA,9450,2014,2014-07-31,"Alcohol and Tobacco Tax and Trade Bureau"
