"Company","Parent","Penalty","Year","Date","Agency","Market_cap","Ticker","price","price_at_time","Market_cap_at_time","Penalty_scaled"
"Northern Indiana Public Service Co.","nisource",6.13e+08,2011,2011-01-13,"Environmental Protection Agency",10245398360.6557,"NI",25.1800003051758,7.1984281539917,2928942141.15815,0.20929058016749
"Bank of America Corporation","bank of america",10956600000,2012,2012-02-09,"Justice Department multiagency referral",228235527459.016,"BAC",32.9799995422363,8.13000011444092,56263034873.1491,0.194738872951002
"American Electric Power","american electric power",4.675e+09,2007,2007-10-09,"Justice Department Environment and Natural Resources Division",40695902868.8525,"AEP",76.9899978637695,47.7099990844727,25218879627.0695,0.185376990141225
"Bank of America Corporation","bank of america",1.665e+10,2014,2014-08-21,"Justice Department multiagency referral",228235527459.016,"BAC",32.9799995422363,15.5200004577637,107404958757.063,0.155020775508701
"Wisconsin Power and Light Company","alliant energy",1010950000,2013,2013-04-22,"Environmental Protection Agency",12205770081.9672,"LNT",48.1399993896484,25.9549999237061,6580821885.39359,0.153620629399475
"Wisconsin Electric Power Company","wec energy group",623200000,2003,2003-04-29,"Justice Department Environment and Natural Resources Division",25133371311.4754,"WEC",79.0599975585938,12.789999961853,4065973033.66684,0.153272044560998
"Bank of America","bank of america",1.035e+10,2013,2013-01-07,"Fannie Mae",228235527459.016,"BAC",32.9799995422363,12.1099996566772,83806312842.1383,0.123499049761272
"Goldman Sachs","goldman sachs",5.06e+09,2016,2016-04-11,"Justice Department multiagency referral",124355557377.049,"GS",379.399993896484,150.279998779297,49257125227.895,0.102726254863417
"Westar Energy","evergy inc.",5.09e+08,2010,2010-01-25,"Environmental Protection Agency",11432144672.1311,"EVRG",49.3499984741211,21.5599994659424,4994468908.74726,0.101912737730441
"Anadarko Petroleum Corp.","occidental petroleum",5.15e+09,2015,2015-01-23,"Environmental Protection Agency",38036308606.5574,"OXY",57.310001373291,78.7259368896484,52249938215.3317,0.0985647098524001
"Morgan Stanley","morgan stanley",2.6e+09,2016,2016-02-11,"Justice Department multiagency referral",111243387704.918,"MS",87.5699996948242,22.7000007629395,28836644907.775,0.0901630549710374
"JPMorgan Chase","jpmorgan chase",1.3e+10,2013,2013-11-19,"Justice Department multiagency referral",495457747131.148,"JPM",170.5,55.7400016784668,161975458397.065,0.0802590721375329
"Mosaic Fertilizer, LLC","mosaic co.",810200000,2015,2015-10-01,"Environmental Protection Agency",10499847950.8197,"MOS",31.9599990844727,31.1100006103516,10220597168.8309,0.0792712976176007
"Bank of America Corporation","bank of america",9.3e+09,2014,2014-03-26,"Federal Housing Finance Agency",228235527459.016,"BAC",32.9799995422363,17.2099990844727,119100463102.901,0.078085338693981
"Citigroup Inc.","citigroup",7e+09,2014,2014-07-14,"Justice Department multiagency referral",102457683196.721,"C",53.2599983215332,47,90415157003.4684,0.0774206475108092
"Invesco Funds Group, Inc.","invesco",3.25e+08,2004,2004-10-08,"Securities and Exchange Commission",7219544672.13115,"IVZ",15.8199996948242,11.4799995422363,5238961512.64378,0.0620351951843205
"Valero","valero energy",7.11e+08,2005,2005-06-16,"Justice Department Environment and Natural Resources Division",44538954918.0328,"VLO",130.149993896484,34.7074966430664,11877339230.0948,0.0598618921482404
"Archer Daniels Midland Company","archer daniels midland",350900000,2003,2003-04-09,"Justice Department Environment and Natural Resources Division",28215540983.6066,"ADM",52.6300010681152,11.3999996185303,6111669198.58966,0.0574147566888886
"Moody's Corporation","moody's",8.64e+08,2017,2017-01-13,"Justice Department Civil Division",61681211475.4098,"MCO",389.940002441406,96.5,15264494204.5192,0.0566019409764789
"Northrop Grumman Corp.","northrop grumman",3.25e+08,2009,2009-04-02,"Justice Department Civil Division",66095644672.1311,"NOC",463.920013427734,40.3141708374023,5743643373.41874,0.0565842930819978
"Quest Diagnostics Incorporated","quest diagnostics",3.02e+08,2009,2009-04-15,"Justice Department Civil Division",14327279508.1967,"DGX",127.76000213623,48.6599998474121,5456836310.46982,0.0553434229684633
"Goldman Sachs & Co.","goldman sachs",3.15e+09,2014,2014-08-22,"Federal Housing Finance Agency",124355557377.049,"GS",379.399993896484,175.149993896484,57408738708.4323,0.0548696952914822
"CF Industries Inc.","cf industries",176201500,2010,2010-08-06,"Environmental Protection Agency",14742866803.2787,"CF",76.7699966430664,17.1599998474121,3295396680.43646,0.0534689802432716
