federal_agency,total_penalties_2017_to_2023
Agricultural Marketing Service,"$2,448,028"
Alcohol and Tobacco Tax and Trade Bureau,"$68,305,932"
Bureau of Industry and Security,"$2,437,916,261"
Bureau of Safety and Environmental Enforcement,"$7,091,997"
Centers for Medicare and Medicaid Services,"$880,671,344"
Commodity Futures Trading Commission,"$7,602,829,553"
Bureau of Consumer Financial Protection,"$9,784,653,208"
Consumer Product Safety Commission,"$151,215,000"
Consumer Product Safety Commission referral to the Justice Department,"$91,850,000"
Drug Enforcement Administration,"$228,289,465"
Department of Education,"$44,670,750"
Employee Benefits Security Administration,"$503,290,778"
Energy Department Office of Enforcement,"$670,000"
Energy Department Office of General Counsel,"$607,144"
Environmental Protection Agency,"$3,122,957,315"
Environmental Protection Agency referral to the Justice Department,"$8,313,218,411"
Equal Employment Opportunity Commission,"$409,166,638"
Federal Aviation Administration,"$192,797,785"
Federal Communications Commission,"$3,007,187,028"
Federal Deposit Insurance Corporation,"$34,293,395"
Federal Election Commission,"$858,100"
Federal Energy Regulatory Commission,"$770,307,129"
Federal Housing Finance Agency,"$5,500,000,000"
Federal Maritime Commission,"$2,435,000"
Federal Motor Carrier Safety Administration,"$158,447,119"
Federal Railroad Administration,"$36,447,737"
Federal Reserve,"$2,012,568,343"
Federal Trade Commission,"$11,896,832,972"
Financial Industry Regulatory Authority,"$332,045,621"
Food and Drug Administration,"$711,691"
"Grain Inspection, Packers and Stockyards Administration","$751,080"
"Office for Civil Rights, Departmental Management, Health and Human Services","$83,483,890"
"Office of the Inspector General, Office of the Secretary, Health and Human Services","$216,680,767"
Department of Housing and Urban Development,"$13,469,398"
Office of Natural Resources Revenue,"$9,112,845"
International Trade Commission,"$6,892,500"
Antitrust Division,"$1,821,446,173"
Justice Department Civil Division,"$47,763,336,513"
Justice Department Civil Rights Division,"$172,621,509"
Justice Department Criminal Division,"$16,916,721,544"
Justice Department Environment and Natural Resources Division,"$250,088,503"
Justice Department multiagency referral,"$500,000"
Justice Department National Security Division,"$5,447,830,895"
Justice Department Tax Division,"$951,024,891"
Justice Department U.S. Trustee Program,"$94,564,079"
Wage and Hour Division,"$876,921,224"
Mine Safety and Health Administration,"$84,825,997"
National Credit Union Administration,"$445,000,000"
National Highway Traffic Safety Administration,"$751,890,216"
National Labor Relations Board,"$202,554,117"
National Oceanic and Atmospheric Administration referral to the Justice Department,"$18,720,000"
Nuclear Regulatory Commission,"$2,583,463"
Occupational Safety and Health Administration,"$1,544,768,262"
Occupational Safety and Health Administration corporate-wide settlements,"$481,429"
Office of Federal Contract and Compliance Programs,"$169,872,927"
Office of Foreign Assets Control,"$380,127,399"
Office of the Comptroller of the Currency,"$2,380,175,580"
PHMSA referral to the Justice Department,"$735,451"
Pipeline and Hazardous Materials Safety Administration,"$12,683,457"
Public Company Accounting Oversight Board,"$38,360,000"
Securities and Exchange Commission,"$13,317,995,552"
State Department Directorate of Defense Trade Controls,"$81,090,000"
Transportation Department Aviation Consumer Protection Division,"$33,197,000"
Financial Crimes Enforcement Network,"$714,778,314"
