"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"1-800-East-West Mortgage Company","","","","$150,000","$0","$150,000","2005","20051117","financial offenses","banking violation","Real Estate Settlement Procedures Act (RESPA)","The Department of Housing and Urban Development and the Federal Deposit Insurance Corporation announced a $150,000 settlement with one of the largest mortgage companies in New England for violations of the Real Estate Settlement Procedures Act. HUD and FDIC found that 1-800-East-West Mortgage Company solicited and received tickets from certain settlement service providers to Boston Red Sox and New England Patriots events as well as music concerts and restaurant gift certificates in exchange for the referral of business.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2005/pr11605.html","",""
"1st Financial Bank USA","1st Financial Bank USA","1st Financial Bank USA","","$10,140,000","$0","$10,140,000","2010","20100129","financial offenses","banking violation","","The Federal Deposit Insurance Corporation announced a settlement with 1st Financial Bank USA, Dakota Dunes, South Dakota, for unfair and deceptive practices in violation of section 5 of the Federal Trade Commission Act in connection with the bank's credit card billing procedures.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","USA","South Dakota","privately held","","","financial services","banking","https://www.fdic.gov/news/news/press/2010/pr10019.html","",""
"1ST FINANCIAL BANK USA","1st Financial Bank USA","1st Financial Bank USA","","$140,000","$140,000","$0","2009","20091230","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-09-309k","","","","","","Dakota Dunes","South Dakota","","","","","USA","South Dakota","privately held","","","financial services","banking","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4Y4AAK?operationContext=S1","",""
"Achieve Financial Services LLP","","","","$1,210,000","$0","$1,210,000","2013","20130531","financial offenses","banking violation","","The Federal Deposit Insurance Corporation announced settlements with First California Bank (FCB), Westlake Village, California, and Achieve Financial Services, LLP for unfair and deceptive practices in violation of Section 5 of the Federal Trade Commission Act (Section 5) and violations of the Treasury Rule, 31 C.F.R. 210, governing the use of the Automated Clearing House system to deliver federal benefit payments to prepaid debit cards. Under the settlements, each entity has agreed to a Consent Order, Order for Restitution, and Order to Pay Civil Money Penalty. Achieve and FCB have agreed to provide restitution of approximately $1.1 million to over 64,000 cardholders. In addition, the FDIC has assessed civil money penalties of $600,000 against FCB and $110,000 against Achieve.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2013/pr13045.html","",""
"Advanta Bank Corporation","","","","$35,150,000","$0","$35,150,000","2009","20090701","financial offenses","banking violation","","To settle charges that it engaged in deceptive and unfair patcies,  Advanta agreed to an order to cease and desist, to pay restitution, and to pay a civil money penalty in the amount of $150,000. In addition, it agreed to restitution of approximately $14 million to businesses that used Advanta's Cash Back Reward program and $21 million to accountholders whose accounts were repriced. In agreeing to the issuance of the order, Advanta did not admit or deny any liability.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2009/pr09109.html","",""
"ADVANTAGE COMMUNITY BANK","","","","$5,150","$0","$5,150","2007","20070411","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-06-233k","","","","","","Dorchester","Wisconsin","","","","","","","","","","","","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5c1AAC?operationContext=S1","",""
"AFB&T","Synovus Financial","Synovus Financial","","$7,040","$0","$7,040","2009","20091109","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-09-540k","","","","","","Athens","Georgia","","","","","USA","Georgia","publicly traded","SNV","US87161C5013","financial services","banking","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4ruAAC?operationContext=S1","",""
"AL Amerilife First Financial, LLC","","","","$100,000","$0","$100,000","2009","20090619","financial offenses","banking violation","","Amerilife agreed to pay $100,000 to settle allegations that it violated the Federal Deposit Insurance Act relating to misuse of the FDIC sign, seal, and symbol and misrepresentation of the insured status of entities and products.","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","","","","","","","","","","","","","","https://www.fdic.gov/news/news/press/2009/pr09093.html","",""
"Alma Bank","","","","$9,755","$0","$9,755","2013","20130502","financial offenses","banking violation","","Assessment of Civil Money Penalty","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","Astoria","New York","","","","","","","","","","","","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z6RHAA0?operationContext=S1","",""
"Alma Exchange Bank and Trust","","","","$25,000","$0","$25,000","2013","20131206","financial offenses","banking violation","","Assessment of Civil Money Penalty,Consent Orders","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","Alma","Georgia","","","","","","","","","","","","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z3nuAAC?operationContext=S1","",""
"ALPINE BANK","","","","$12,925","$0","$12,925","2009","20090415","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-08-322k","","","","","","Glenwood Springs","Colorado","","","","","","","","","","","","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z61PAAS?operationContext=S1","",""
"American Bank & Trust Wisconsin","","","","$9,385","$0","$9,385","2016","20160205","financial offenses","banking violation","","Assessment of Civil Money Penalty","federal","agency action","Federal Deposit Insurance Corporation","civil","","","","","","","","","Cuba City","Wisconsin","","","","","","","","","","","","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z6UHAA0?operationContext=S1","",""
"AMERICAN BANK CENTER FIRST; BANK CENTER FIRST","","","","$7,050","$0","$7,050","2006","20061208","financial offenses","banking violation","","","federal","agency action","Federal Deposit Insurance Corporation","civil","","","FDIC-06-137k; FDIC-06-138k","","","","","","Bismarck","North Dakota","","","","","","","","","","","","https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XSAA0?operationContext=S1","",""
