"Company","Current Parent Company","Parent at the Time of the Penalty Announcement","Recap of Ownership Changes","Penalty Amount","Subtraction From Penalty Amount to Avoid Double Counting","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Original System ID","Facility Name","Facility Address","Facility City","Facility State","Facility Zip","Facility County","NAICS Code","NAICS Translation","Current Parent HQ Country","Current Parent HQ State","Current Parent Ownership Structure","Current Parent Stock Ticker","Current Parent ISIN","Current Parent Major Industry","Current Parent Specific Industry","Info Source","PACER Link","Notes"
"H&D Cattle Company","","","","$5,750","$0","$5,750","2021","20210304","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Cushing","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-reaches-consent-decision-and-civil-penalty-richard-gresham-dba-hd-cattle-company","",""
"Beltex Corporation,","","","","$8,400","$0","$8,400","2019","20190207","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Fort Worth","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-case-beltex-corporation-dba-frontier-meats-resulting-8400-penalty","",""
"Ganaderos Borges Inc.","","","","$7,250","$0","$7,250","2018","20181220","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","Puerto Rico","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-case-ganaderos-borges-inc-resulting-7250-penalty","",""
"Beken Livestock Inc.","","","","$6,000","$0","$6,000","2018","20180509","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Weimar","Texas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-case-beken-livestock-inc-resulting-6000-penalty","",""
"St. Joseph Stockyards Inc.","","","","$5,000","$0","$5,000","2017","20171208","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","St. Joseph","Missouri","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-case-st-joseph-stockyards-inc-resulting-5000-penalty","",""
"Plainville Livestock Commission Inc.","","","","$117,750","$0","$117,750","2019","20190426","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Plainville","Kansas","","","","","","","","","","","","https://www.ams.usda.gov/press-release/ams-enforces-us-district-court%E2%80%99s-order-against-tyler-d-gillum-and-plainville-livestock","",""
"Christie Livestock","","","","$13,600","$0","$13,600","2019","20190411","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","Arcata","California","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-issues-default-decision-raymond-frank-christie-doing-business-christie-livestock","",""
"JBS USA Food Company,","JBS","JBS","","$50,000","$0","$50,000","2018","20181214","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","Brazil","","publicly traded","","BRJBSSACNOR8","food products","meatpacking","https://www.ams.usda.gov/press-release/ams-reaches-consent-decision-jbs-usa-food-company","",""
"Coleman Livestock Auction Commission Co., Inc.","","","","$7,000","$0","$7,000","2019","20190821","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-settles-packers-and-stockyards-case-against-coleman-livestock-auction-commission","",""
"TBW Cattle","","","","$39,000","$0","$39,000","2019","20190808","competition-related offenses","agribusiness violation","","","federal","agency action","Agricultural Marketing Service","civil","","","","","","","","","","","","","","","","","","","","","","https://www.ams.usda.gov/press-release/usda-issues-default-decision-and-order-against-tommy-bradley-welch-dba-tbw-cattle-ps","",""
